zipcode|country|turnover(EUR)
09633|DE|143.72
23919|DE|940.8
60281|DE|30.81
76149|DE|987.24
45883|DE|1735.2
65929|DE|1011.94
49425|DE|29.2
18465|DE|35.01
48531|DE|2102.16
20835|DE|24.82
91802|DE|31.04
09385|DE|164.76
71149|DE|528.24
72379|DE|529.2
14542|DE|1517.08
52062|DE|1125.6
82266|DE|547.52
65462|DE|999.26
63321|DE|41.45
70896|DE|36.77
60313|DE|551.18
55239|DE|238.88
70499|DE|1639.32
53607|DE|43.03
88213|DE|741.38
12353|DE|1822.31
09627|DE|353.5
22014|DE|32.23
94344|DE|23.22
87758|DE|69.21
73760|DE|4229.76
38530|DE|423.0
64390|DE|782.16
12459|DE|1031.04
95361|DE|151.76
81925|DE|2119.2
21523|DE|39.82
55023|DE|55.5
04109|DE|1417.68
25588|DE|691.38
27801|DE|1580.5
53579|DE|201.78
87538|DE|293.76
04159|DE|1060.08
54349|DE|40.06
24977|DE|8478.8
94265|DE|36.56
15751|DE|69.72
73113|DE|30.29
29576|DE|419.3
24217|DE|3116.82
34311|DE|989.7
83115|DE|311.88
78665|DE|106.96
17498|DE|982.53
25889|DE|968.4
83361|DE|41.14
31643|DE|34.72
45777|DE|35.87
88636|DE|95.31
57080|DE|1348.8
40595|DE|770.88
12059|DE|606.75
73527|DE|612.36
29471|DE|982.79
30900|DE|14128.8
02999|DE|160.16
97496|DE|131.16
24640|DE|1469.52
67134|DE|225.2
52353|DE|652.68
22177|DE|10168.0
83620|DE|637.12
72660|DE|276.56
79199|DE|1081.5
40599|DE|1245.96
25569|DE|1361.92
91227|DE|494.38
96361|DE|187.92
86657|DE|56.44
86916|DE|528.57
24875|DE|152.44
36358|DE|192.42
08115|DE|525.28
72401|DE|251.91
17440|DE|489.45
70188|DE|598.0
21338|DE|22.12
54353|DE|32.52
42579|DE|4111.8
71067|DE|394.57
63073|DE|905.52
97815|DE|41.8
08248|DE|89.08
06896|DE|129.84
85640|DE|166.05
85258|DE|204.2
85241|DE|306.32
85353|DE|40.79
14789|DE|519.6
79183|DE|1614.06
06567|DE|288.54
48165|DE|5220.4
80796|DE|2211.54
86663|DE|118.92
85614|DE|633.12
91190|DE|35.51
29596|DE|246.48
47199|DE|1552.04
42782|DE|40.59
12205|DE|3974.6
53838|DE|38.63
66606|DE|1363.32
76593|DE|1212.49
74360|DE|658.2
38126|DE|5981.36
97782|DE|75.57
24242|DE|1960.74
97084|DE|1808.92
06888|DE|284.24
93189|DE|29.01
21456|DE|116.67
92536|DE|169.5
29640|DE|8750.72
67478|DE|27.24
21378|DE|39.16
74858|DE|171.72
31199|DE|2772.78
60320|DE|1968.2
51598|DE|129.78
87638|DE|25.5
97631|DE|99.27
89429|DE|69.27
89368|DE|67.78
99330|DE|264.72
98544|DE|543.15
51747|DE|27.73
27489|DE|111.78
24966|DE|6301.7
38462|DE|116.56
21244|DE|46086.12
92275|DE|99.42
06914|DE|35.12
71287|DE|455.81
25884|DE|935.55
22870|DE|37.42
22113|DE|14481.74
48356|DE|953.16
25927|DE|4534.25
31582|DE|8274.33
20660|DE|31.06
65554|DE|28.88
50935|DE|1785.6
56307|DE|118.32
16767|DE|668.2
18337|DE|390.15
15324|DE|28.5
24631|DE|1116.15
94544|DE|134.96
41515|DE|1981.5
42553|DE|2815.8
73571|DE|76.0
94545|DE|33.46
32678|DE|27.09
74889|DE|2191.85
31061|DE|5806.42
28384|DE|40.36
64546|DE|3738.38
29331|DE|1324.98
38822|DE|402.78
51368|DE|43.26
96358|DE|77.44
38384|DE|366.0
88433|DE|220.2
76889|DE|569.31
50167|DE|30.95
34399|DE|899.3
77704|DE|1076.04
63221|DE|34.49
96269|DE|35.29
96132|DE|144.12
63796|DE|555.88
70276|DE|40.69
11073|DE|39.08
01324|DE|1413.39
22046|DE|26.39
28362|DE|23.38
67366|DE|87.93
35102|DE|687.0
55592|DE|39.2
63803|DE|36.42
73499|DE|33.83
47329|DE|38.79
66649|DE|148.08
44623|DE|1282.05
44579|DE|951.16
92545|DE|23.97
06642|DE|56.88
24521|DE|133.25
45273|DE|40.55
94365|DE|117.72
33024|DE|43.96
81245|DE|1881.05
36419|DE|216.09
35394|DE|1247.16
17087|DE|290.7
33617|DE|3165.84
54518|DE|684.32
56567|DE|1660.68
56294|DE|108.56
37633|DE|133.12
25579|DE|132.57
14662|DE|115.75
74936|DE|67.26
45687|DE|41.67
93107|DE|31.61
23923|DE|2776.94
75339|DE|136.38
19412|DE|367.77
42277|DE|1715.34
23566|DE|10454.07
77815|DE|1298.14
84155|DE|83.04
39171|DE|796.74
57639|DE|143.48
40880|DE|2025.5
36355|DE|394.35
40591|DE|1887.6
17291|DE|845.06
93053|DE|481.32
54296|DE|1051.44
29202|DE|36.67
25421|DE|49824.0
70736|DE|2309.49
99098|DE|559.52
09119|DE|500.14
55425|DE|447.37
96151|DE|71.18
54901|DE|33.17
08648|DE|155.5
70599|DE|1686.16
88267|DE|248.32
14052|DE|3762.9
61462|DE|5229.29
89619|DE|24.06
21441|DE|1130.78
35043|DE|2227.68
96528|DE|396.34
23744|DE|908.6
25429|DE|41.41
16220|DE|41.74
24189|DE|33.08
01458|DE|471.15
75387|DE|176.64
30974|DE|7341.36
21765|DE|1629.82
97797|DE|111.0
42279|DE|2762.41
78199|DE|137.0
27257|DE|766.0
86574|DE|53.48
91472|DE|26.74
56338|DE|143.44
95233|DE|494.4
82347|DE|294.3
31452|DE|27.82
04347|DE|753.44
86386|DE|22.9
67063|DE|1593.59
50459|DE|32.41
93479|DE|84.06
85276|DE|1815.16
14532|DE|7127.4
25438|DE|41.68
95158|DE|164.71
20764|DE|34.62
72417|DE|82.68
91793|DE|65.54
38685|DE|3136.98
24813|DE|757.26
25721|DE|249.84
97262|DE|121.23
44137|DE|2320.68
48624|DE|560.64
49774|DE|471.9
66640|DE|300.19
76000|DE|34.77
30713|DE|38.06
61789|DE|22.36
85413|DE|73.59
79739|DE|28.54
55288|DE|889.46
23555|DE|26.43
30163|DE|11179.2
02742|DE|43.91
25938|DE|2383.2
26316|DE|4501.8
90478|DE|951.74
25593|DE|135.0
42511|DE|65.14
54614|DE|34.0
25368|DE|1304.24
25998|DE|261.63
48393|DE|82.04
88141|DE|30.07
25661|DE|23.62
49809|DE|2252.9
23043|DE|24.3
04317|DE|822.5
40596|DE|22.25
34124|DE|25.95
51103|DE|805.8
97279|DE|175.98
22844|DE|29811.11
99768|DE|347.62
72184|DE|174.37
24997|DE|3307.55
10435|DE|2356.8
76316|DE|660.91
21365|DE|6608.91
02779|DE|287.3
27149|DE|49.26
22179|DE|13554.39
39122|DE|456.57
97842|DE|43.75
99428|DE|710.47
97222|DE|180.4
74369|DE|439.53
55571|DE|65.72
60546|DE|61.28
86836|DE|717.0
85232|DE|398.58
37145|DE|26.38
94428|DE|122.5
21212|DE|34.26
55432|DE|106.59
65293|DE|24.86
68645|DE|28.0
04827|DE|684.42
89340|DE|204.75
38729|DE|1550.88
37473|DE|42.17
46357|DE|22.38
31608|DE|1501.83
25922|DE|22.7
73630|DE|1290.3
60120|DE|26.14
63691|DE|442.09
14947|DE|431.2
20041|DE|71.49
41066|DE|1358.28
79637|DE|40.13
04574|DE|38.64
85570|DE|1215.1
26571|DE|99.57
51459|DE|23.44
45453|DE|44.17
71332|DE|915.64
78132|DE|160.8
01616|DE|136.88
22698|DE|30.24
42329|DE|973.28
21422|DE|42.87
63931|DE|107.22
49149|DE|42.05
90765|DE|2040.85
54325|DE|42.16
86636|DE|32.26
47829|DE|2064.48
73574|DE|148.56
76351|DE|694.14
17168|DE|192.29
90552|DE|445.35
23869|DE|2283.52
24609|DE|24.74
97647|DE|206.37
32494|DE|36.66
55593|DE|195.72
30996|DE|23.67
78073|DE|446.32
91595|DE|41.45
94154|DE|79.66
91238|DE|125.72
38165|DE|2890.44
80687|DE|1384.96
83257|DE|172.96
54574|DE|76.14
10551|DE|1748.92
23662|DE|32.47
65812|DE|3892.82
77960|DE|220.15
83131|DE|210.64
57583|DE|118.62
67500|DE|24.92
22148|DE|25.01
66583|DE|354.45
86438|DE|357.45
42899|DE|1323.89
15913|DE|309.51
35435|DE|1261.93
41334|DE|2109.86
11017|DE|36.5
29643|DE|1864.96
25887|DE|278.08
21400|DE|984.62
27483|DE|29.03
31559|DE|1359.0
54634|DE|464.8
40217|DE|1314.72
87789|DE|108.63
56581|DE|421.12
04654|DE|369.27
79664|DE|780.39
73550|DE|302.54
88483|DE|62.62
54611|DE|38.57
60111|DE|33.52
10319|DE|1104.48
88457|DE|24.53
78583|DE|29.28
27575|DE|26.44
95463|DE|272.64
56743|DE|476.41
88171|DE|152.52
67706|DE|83.97
58455|DE|2097.09
47472|DE|26.16
71242|DE|111.84
47800|DE|3366.36
79261|DE|258.0
12057|DE|831.38
74074|DE|1542.0
06528|DE|417.67
93351|DE|101.68
24395|DE|2552.7
77855|DE|1416.45
23743|DE|2859.48
38296|DE|30.18
63571|DE|3065.88
65347|DE|170.96
32257|DE|17111.4
20509|DE|24.6
87782|DE|33.42
04874|DE|74.55
17091|DE|194.46
97794|DE|51.36
22337|DE|14235.46
21559|DE|95.43
25590|DE|280.35
25786|DE|66.96
94431|DE|360.03
06406|DE|1440.96
13435|DE|1094.12
70650|DE|35.21
94542|DE|27.87
82442|DE|119.76
12347|DE|1415.25
24613|DE|1502.8
46354|DE|600.9
21739|DE|1197.99
24942|DE|114.99
24644|DE|1072.71
65183|DE|694.88
43933|DE|22.62
97857|DE|123.44
69251|DE|31.28
24364|DE|412.5
67316|DE|186.54
40668|DE|3480.57
94239|DE|104.79
72138|DE|158.9
47053|DE|563.64
65926|DE|49.84
17209|DE|221.35
63654|DE|1504.88
66131|DE|159.42
63683|DE|633.4
48453|DE|41.82
59439|DE|2969.4
28279|DE|12812.24
91740|DE|36.9
82301|DE|117.08
24589|DE|6536.6
06791|DE|44.09
01237|DE|935.34
56242|DE|171.08
46045|DE|1724.8
78126|DE|181.86
38553|DE|336.44
20020|DE|395.64
55452|DE|761.14
74211|DE|774.87
78253|DE|112.0
61118|DE|5414.67
79350|DE|77.91
23558|DE|7933.65
14641|DE|1403.05
22965|DE|898.26
12161|DE|2006.76
93073|DE|301.73
82229|DE|954.8
85259|DE|32.2
98547|DE|161.58
45143|DE|1576.38
44797|DE|4726.0
14798|DE|360.4
83567|DE|41.69
08359|DE|221.83
23881|DE|3159.52
68635|DE|39.82
35112|DE|572.05
86391|DE|1361.16
09122|DE|246.0
28215|DE|14936.6
67700|DE|188.35
13548|DE|41.1
67200|DE|32.99
57290|DE|739.79
97516|DE|42.8
35720|DE|41.76
55444|DE|202.2
67677|DE|154.42
78166|DE|575.23
09514|DE|120.12
21723|DE|3560.82
69239|DE|150.84
73614|DE|3482.54
90616|DE|135.25
49439|DE|1074.64
17099|DE|89.76
27472|DE|21359.52
46244|DE|3882.58
93356|DE|33.55
29484|DE|273.21
45678|DE|314.48
26382|DE|4457.76
92245|DE|310.0
12279|DE|1071.15
33824|DE|3303.72
22996|DE|24.01
22397|DE|29338.47
37199|DE|379.68
72488|DE|762.09
07330|DE|160.55
36208|DE|518.18
50999|DE|2218.5
29571|DE|483.36
71549|DE|440.44
29323|DE|2540.46
18317|DE|41.51
78655|DE|253.53
74721|DE|32.12
38446|DE|6251.74
54789|DE|28.06
89349|DE|188.22
65830|DE|847.44
39326|DE|2151.22
30952|DE|8071.8
37284|DE|541.44
02727|DE|124.95
72178|DE|581.0
44147|DE|644.94
76726|DE|361.92
97295|DE|128.64
38468|DE|449.4
86700|DE|36.67
75203|DE|771.39
17389|DE|406.98
71739|DE|136.15
21465|DE|48367.85
63579|DE|1276.13
06128|DE|924.48
87463|DE|377.41
36318|DE|252.77
50939|DE|2607.72
27607|DE|15304.38
74223|DE|730.17
36119|DE|883.43
41065|DE|1434.72
56856|DE|206.7
59929|DE|4774.29
42344|DE|26.57
42389|DE|2624.7
24939|DE|32337.36
82538|DE|1266.88
29308|DE|6222.0
31574|DE|23.84
24193|DE|35.13
45861|DE|36.1
14482|DE|3559.24
80689|DE|2231.32
34626|DE|562.52
32139|DE|3420.79
64531|DE|29.43
14487|DE|39.93
03055|DE|136.1
78120|DE|519.36
58678|DE|38.87
33332|DE|3368.48
29443|DE|39.9
45897|DE|2098.44
34379|DE|1740.96
66693|DE|487.34
38879|DE|99.39
10974|DE|31.13
53340|DE|2382.55
46419|DE|523.84
36160|DE|209.2
32200|DE|24.59
55496|DE|24.24
91235|DE|343.44
22392|DE|45.78
21000|DE|30.36
44799|DE|2758.14
77876|DE|254.6
58638|DE|2000.56
22097|DE|36.53
51545|DE|1372.02
18516|DE|388.4
80337|DE|712.38
32145|DE|33.51
24706|DE|27.96
30558|DE|23.93
91241|DE|164.24
65375|DE|1821.25
45129|DE|37.6
66777|DE|39.23
38387|DE|146.68
12365|DE|34.79
76698|DE|689.52
70200|DE|42.96
22889|DE|9040.46
